04:36:14:| Launching Telegram Scraper...

04:36:22:| Telegram Robot: .

04:36:27:| Telegram Robot: /last_week

04:46:58:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:47:16:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:48:05:| new chat ID:1659089950⚡️Master of Binance Scalp BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:48:31:| new chat ID:1659089950⚡️Master of Binance Scalp BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:48:59:| new chat ID:1746425792⚡️Binance Scalping 300 BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:52:30:| new chat ID:1681227295⚡️CryptoBullet Premium BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:52:44:| new chat ID:1617114456Bi 360 MTC CxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:52:51:| new chat ID:1752384255⚡️Coin Signal BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:52:52:| new chat ID:1617114456Bi 360 MTC CxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:53:02:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:53:04:| new chat ID:1733724072⚡️Alex Friedman Premium BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:53:05:| new chat ID:1733724072⚡️Alex Friedman Premium BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:53:15:| new chat ID:1665258678Al Win PremiumDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:53:17:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:53:29:| new chat ID:1659089950⚡️Master of Binance Scalp BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:55:01:| new chat ID:1733724072⚡️Alex Friedman Premium BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:56:26:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:58:29:| new chat ID:1716601671⚡️Just Profit BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:58:34:| new chat ID:1716601671⚡️Just Profit BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:58:50:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:59:01:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:59:03:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:00:45:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:01:42:| new chat ID:1678634345⚡️saviour BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:02:38:| new chat ID:1780529400⚡️Aman Crypto BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:02:47:| new chat ID:1769022420⚡️Haji Crypto BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:03:21:| new chat ID:1659089950⚡️Master of Binance Scalp BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:03:48:| new chat ID:1396813143⚡️ESTR VIP BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:03:54:| new chat ID:1780529400⚡️Aman Crypto BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:04:08:| new chat ID:1537967014⚡️Bitcoin Masters BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:04:19:| new chat ID:1766265305⚡️MYC Signals BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

