00:12:53:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:27:39:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:37:27:| Telegram Robot: /back_test

00:38:40:| Telegram Robot: /last_week!

01:36:38:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:36:40:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:36:43:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:38:09:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:50:44:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:07:30:| new chat ID:1752024450⚡️Predictum BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:09:46:| new chat ID:1752024450⚡️Predictum BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:50:45:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:50:48:| new chat ID:1224826225Predictūm Indicator | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:51:46:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:52:45:| new chat ID:1224826225Predictūm Indicator | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:55:45:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:55:47:| new chat ID:1224826225Predictūm Indicator | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

09:19:44:| new chat ID:1752024450⚡️Predictum BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

10:18:47:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

10:18:50:| new chat ID:1224826225Predictūm Indicator | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

11:28:39:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

11:28:42:| new chat ID:1224826225Predictūm Indicator | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

13:02:48:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

14:01:44:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

14:17:49:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

14:18:49:| new chat ID:1224826225Predictūm Indicator | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

17:00:51:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

17:10:51:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

17:12:32:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

17:13:59:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

